Acronym,Definition
DRACO,Demonstration Rocket for Agile Cislunar Operations
DRCS,Disaster Response Coordination System
DRD,Data Requirements Document
DRF,Data and Reasoning Fabric
DRFP,Draft Request for Proposal
DRIVE,"Diversify, Realize, Integrate, Venture, Educate"
DRM,Design Reference Mission
DS,Descent Stage
DSA,Distributed Spacecraft Autonomy
DSCOVR,Deep Space Climate Observatory
DSE,Data System Evolution
DSI,Decadal Survey Incubation
DSL,Deep Space Logistics
DSN,Deep Space Network
DSO,Detailed Science Objective
DSOC,Deep Space Optical Communications
DSP,Digital Signal Processor
DSRC,Data System Routing and Configuration
DSS,Deep Space Station
DT-IAM,Diagnostic Technologies – Integrated Autonomous Medicine
DTN,Delay Tolerant Networking
DVD,Digital Video Disk
DYNAMIC,Dynamical Neutral Atmosphere-Ionosphere Coupling
DoD,U.S. Department of Defense
DoS,U.S. Department of State
E4D,Enhanced European Exploration Exercise Device
EA,Evolutionary Acquisition
EAC,Estimate at Completion
EACA,Equipment Asset Criticality Analysis
EAR,Export Administration Regulations
EC,Embedded Controller
ECF,Early Career Faculty
ECI,Early Career Initiative
ECL,Exercise Countermeasures Laboratory
ECLSS,Environmental Control and Life Support System
ECO,Engineering Change Order
ECOSTRESS,ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station
ECP,Exercise Countermeasures Project
ECR,Early Career Research
ECS,Environmental Control System
ECU,Environmental Control Unit
ECW,"Emergency, Caution and Warning"
EDCA,Entropically Driven Colloidal Assembly Experiment
EDL,"Entry, Descent, and Landing"
EDMS,Electronic Document Management System
EDP,Enterprise Data Platform
EDR,Endpoint Detection and Response
EDS,Electrodynamic Dust Shield
EE,Electronics Enclosure
EEO,Equal Employment Opportunity
EES,Emergency Egress System
EEU,Environmental Electronics Unit
EGM,Electrostatics of Granular Materials Experiment
EGS,Exploration Ground System
EGSE,Experiment Ground Support Equipment
EHP,Extravehicular Activity and Human Surface Mobility Program
EHR,Exploration Human Research
EHS,Enhanced HOSC System
EI,Entry Interface
EIA,Electronic Industries Association
EIC,Earth Information Center
EICC,EPSCoR Interagency Coordinating Committee
EIO,Earth Independent Operations
EIR,Enterprise Integration Review
EIRD,Exploration Investigation Requirements Document
EIS,Earth Information System
ELC,EXPRESS Laptop Computer
ELF,Electrostatic Levitator Facility
ELM,Enhanced Light Microscope
ELV,Expendable Launch Vehicle
EM,Exploration Mission
EMCS,Enhanced Mission Communications System
EMD,ElectroMagentic Compatability
EMDT,Electro-Motive Drop Tower
EMI,ElectroMagnetic Interference
EMIT,Earth Surface Mineral Dust Source Investigation
EMO,Environmental Management Office
EMS,Environmental Management System
ENOC,Enterprise Network Operations Center
EO,Equal Opportunity
EONS,Engagement Opportunities in NASA STEM
EOS,Earth Observation Systems
EOSDIS,Earth Observing System Data and Information System
EP,Electric Propulsion
EPA,Environmental Protection Agency
EPCAPE,Eastern Pacific Cloud Aerosol Precipitation Experiment
EPCU,Electrical Power Control Unit
EPD,Educator Professional Development
EPFD,Electrified Powertrain Flight Demonstrations
EPIC,Earth Polychromatic Imaging Camera
EPS,Electrical Power System
ER#,EXPRESS Rack number
ERB,Earth Radiation Budget
ERD,Engineering Requirements Document
ERDC,Earth Radiation Data Continuity
ERE,Extensional Rheology Experiment
ERG,Employee Resource Group
ERM,ESPRIT Refueling Module
ERP,Expert Review Panel
ES,Earth Surface
ESA,European Space Agency
ESC,Evaporative Spray Cooling
ESD,Earth Science Division
ESDIS,Earth Science Data and Information System
ESDMD,Exploration Systems Development Mission Directorate
ESDS,Earth Science Data System
ESE,Earth System Explorers
ESI,Early Stage Innovations
ESIC,Early Stage Innovation and Commerce
ESIP,Early Stage Innovation and Partnerships
ESM,Earth Systematic Missions
ESMD,Exploration Systems Mission Directorate
ESMD PARL,ESMD Performance Assessment Report Lead
ESMD PPL,ESMD Performance Planning Lead
ESMD SAMP,ESMD Single Acquisition Management Plan
ESMD SEMP,ESMD Theme Systems Engineering Management Plan
ESN,External Services Network
ESO,Earth System Observatory
ESP,ERG Stellar Program
ESPRIT,"European Systems Providing Refueling, Infrastructure, and Telecommunications"
ESR&T,Exploration Systems Research & Technology Division
ESS,Exploration System of Systems
ESSA,EPCU Shutoff Switch Assembly
ESSIO,Exploration Science Strategy and Integration Office
ESSP,Earth System Science Pathfinder
ESTP,Earth Science Technology Program
ETA,Environmental Test Article
ETC,Estimate to Completion
ETM,Equipment Transfer Module
ETO,Earth-to-Orbit
ETOV,Earth-to-Orbit Vehicle
EUL,Enhanced Use Lease
EUMETSAT,European Organization for the Exploitation of Meteorological Satellites
EUS,Exploration Upper Stage
EUV,Extreme Ultraviolet
EUVST,Extreme Ultraviolet High-Throughput Spectroscopic Telescope
EV,Earth Venture
EVA,Extravehicular Activity
EVC,Earth Venture Continuity
EVE,Extreme ultraviolet Variability Experiment
EVI,Earth Venture Instruments
EVM,Earth Venture Missions
EVMS,Earned Value Management System
EVP,Exhaust Vent Package
EVS,Earth Venture Suborbital
EVUST,Extreme Ultraviolet High-Throughput Spectroscopic Telescope
EWCA,"Emergency, Warning, Caution, and Advisory"
EXES,Echelon-Cross-Echelle Spectrograph
EXMC,Exploration Medical Capability and Digital Astronaut
EXPAND,Enhancing eXploration Platforms and Analog Definition
EXPRESS,Expedite the Process of Experiments to the Space Station Rack
EZIE,Electrojet Zeeman Imaging Explorer
FA&A,Financial Accountant & Analysis
FAA,Federal Aviation Administration
FAD,Formulation Authorization Document
FAIR,"Findability, Accessibility, Interoperability, and Reusability"
FAM,Familiarization (training)
FAMLLE,Fully Additively Manufactured Liquid Oxygen/Liquid Hydrogen Engine
FAR,Federal Acquisition Regulation
FBCE,Flow Boiling Condensation Experiment
FBM,Flow Boiling Module
FC,Faraday Cup
FCA,Functional Configuration Audit
FCF,Fluids and Combustion Facility
FDC,Flight Demonstrations and Capabilities
FDL,Frontier Dynamics Laboratory
FDS,Functional Discipline Specialist
FEANICS,Flow Enclosure Accommodating Novel Investigations in Combustion of Solids
FFP,Firm Fixed Price
FFRDC,Federally-Funded Research and Development Center
FGM,Fluxgate Magnetometer
FHA,Flight Hardware Availability
FICS,FOMA Instrumentation Calibration System
FIFI-LS,Field-Imaging Far-Infrared Line Spectrometer
FIR,Fluids Integrated Rack
FIRST,For the Inspiration and Recognition of Science and Technology
FISMA,Federal Information Security Modernization Act
FIST,Flammability Diagrams of Combustible Materials in Microgravity
FLEX,FLame Extinguishment eXperiment
FLITECAM,First Light Infrared Test Experiment CAMera
FM,Functional Model
FM5,Flight Model 5
FMEA/CIL,Failure Mode Effects Analysis / Critical Item List
FMS,Food Management System
FO,Flight Opportunities
FOAM,Foam Optics and Mechanics Experiment
FOC,Full Operational Capability
FOIA,Freedom of Information Act
FOM,Figure-of-Merit
FOMA,Fuel Oxidizer Management Assembly
FOOT,Lower Extremity Monitoring Suit ISS Experiment
FORCAST,Faint Object infraRed CAmera for the SOFIA Telescope
FPAF,Fixed Price Award Fee
FPC,Food Preparation Capabilities
FPDS,"Fire Prevention, Detection, and Suppression"
FPI,Fixed Price Incentive
FPSR,Fluid Physics Strategic Research
FRR,Flight Readiness Review
FSAP,Fluid Science Avionics Package
FSDP,Flight Safety Data Packages
FSL,Fluid Science Laboratory (ESA)
FSP,Fission Surface Power
FSR,Formulation Synchronization Review
FSS,Farside Seismic Suite
FTIS,Flight Test Instrumentation System
FU,Flight Unit
FY,Fiscal Year
Flt Platform,Flight 4.1.2
FunRes,Fundamental Research
G&A,General and Administrative
GAO,General Accounting Office
GC,Gas Chromatograph
GCD,Game Changing Development
GCR,Galactic Cosmic Ray
GDC,Geospace Dynamics Constellation
GDSCC,Goldstone Deep Space Communications Complex
GE,General Electric Aviation
GEDI,Global Ecosystem Dynamics Investigation
GEER,Glenn Extreme Environment Rig
GEL,Growth and Extinction Limit
GEO,Geosynchronous Equatorial Orbit
GERS,Gateway External Robotic System
GERT,Graphical Evaluation Review Technique
GESS,GRC Engineering and Scientific Support
GFE,Government Furnished Equipment
GFM,Granular Flow Module
GGM,"Gravity and Granular Materials, GFM-3"
GHA,High Gain Antenna
GHG,Greenhouse Gas
GIBS,Global Imagery Browse Services
GIC,Gateway Initial Capability
GIS,Geographic Information System
GISS,Goddard Institute for Space Studies
GIU,Ground Interface Unit
GLIDE,Global Lyman-alpha Imager of the Dynamic Exosphere
GLIMR,Geosynchronous Littoral Imaging and Monitoring Radiometer
GLOBE,Global Learning and Observation to Benefit the Environment
GLS,Gateway Logistics Services
GMI,GPM Microwave Imager
GMSF,Growth and Morphology of Supercritical Fluids Experiment
GN&C,"Guidance, Navigation and Control"
GNSS,Global Navigation Satellite System
GO,Guest Observer
GOES,Geostationary Operational Environmental Satellites
GOF,Guest Observer Facility
GOLD,Global-scale Observations of the Limb and Disk
GOMAP,Great Observatories Mission and Technology Maturation Program
GOTS,Government Off-the-Shelf
GPD,Gate Product Deliverable
GPHS,General-Purpose Heat Source
GPM,Global Precipitation Measurement
GPMC,Governing Program Management Council
GPRA,Government Performance and Results Act
GPS,Global Positioning System
GRACE,Gravity Recovery and Climate Experiment
GRADFLEX,Gradient Driven Fluctuations Experiment
GRAM,Global Reference Atmospheric Model
GRB,Gamma-Ray Bursts
GRC,Glenn Research Center
GREAT,German Receiver for Astronomy at Terahertz Frequencies
GRS,Gamma Ray Spectrometer
GSA,General Services Administration
GSDP,Ground Safety Data Package
GSE,Ground Support Equipment
GSF,Gross Square Footage
GSFC,Goddard Space Flight Center
GSI,Ground Systems Implementation
GSLV,Geosynchronous Satellite Launch Vehicle
GSP,Ground Support Personnel
GSS,Ground Support System
GSSR,Goldstone Solar System Radar
GTP,Gas Tolerant Pump
GUSTO,Galactic/Extragalactic ULDB Spectroscopic Terahertz Observatory
HALO,Habitation and Logistics Outpost
HAQAST,Health and Air Quality Science Team
HARP-2,Hyper-angular Rainbow Polarimeter 2
HASP,High Altitude Student Platform
HBCU,Historically Black Colleges and Universities
HBY,Heliophysics Big Year
HCA,Head of Contracting Activity
HCC,High-Capacity Centrifuge
HCL,Human Capitol Liaison
HCR,Hardware Concept Review
HEASARC,High Energy Astrophysics Science Archive Research Center
HEC,High End Computing
HECC,High-End Computing Capability
HEOMD,Human Exploration and Operations Mission Directorate
HEPA,High Efficiency Particulate Air
HERA,Human Exploration Research Analog
HERMES,Heliophysics Environmental and Radiation Measurement Experiment Suite
HERO,Human Exploration Research Opportunities
HFIT,Human Factor Integration Test
HFORT,Heliophysics Flight Opportunities in Research and Technology
HFOS,Heliophysics Flight Opportunities Studies
HIAD,Hypersonic Inflatable Aerodynamic Decelerator
HIPPA,Hip Investigator for Protecting Astronaut Anatomy
HIRMES,High Resolution Mid-InfrarEd Spectrometer
HITL,Human-In-The Loop
HLS,Human Landing System
HMI,Helioseismic and Magnetic Imager
HMTA,Human Medical Technical Authority
HORIS,Hypervelocity OSIRIS-REx Reentry Imaging & Spectroscopy
HPSC,High Performance Spaceflight Computing
HQ,Headquarters
HRIS,Human Resources Information System
HRP,Human Research Program
HRSC,Human Resources Services Center
HSFO,Human Space Flight Operations
HSM,Human Surface Mobility
HSR&T,Human Support Research Technology
HT,Hypersonic Technology
HTPB,Hydroxyl-Terminated Polybutadiene
HTV,H-II Transfer Vehicle
HUB,Historically Underutilized Business
HVAC,"Heating, Ventilation, and Air Conditioning"
HW,Habitable Worlds
HWO,Habitable Worlds Observatory
I&T,Integration and Test
I&TC,Infrastructure and Technical Capabilities
I3P,Information Technology Infrastructure Integration Program
IA,Implementing Arrangement
IAD,Investigative Analysis Division
IAO,International Announcement of Opportunity
IAS,Integration of Automated Systems
IASMS,In-Time Aviation Safety Management System
IASP,Integrated Aviation Systems Program
IBEX,Interstellar Boundary Explorer
IBPD,Integrated Budget and Performance Document
IBR,Integrated Baseline Review
ICA,Independent Cost Assessment
ICAT,Independent Cost Assessment Team
ICD,Interface Control Document
ICEMAG,Interior Characterization of Europa Using Magnetometry
ICON,Ionospheric Connection Explorer
ICP,Intramural Call for Proposal
ICPS,Interim Cryogenic Propulsion Stage
ICR,Investigation Continuation Review
ID,Incremental Development
IDAS,"Information, Data, & Analytics Services"
IDD,Interface Definition Document
IDI,Intercultural Development Inventory
IDIQ,Indefinite Delivery Indefinite Quantity
IDPU,Instrument Data Processing Unit
IEEE/EIA,Institute of Electrical and Electronics Engineers / Electronic Industries Association
IFB,Invitation for Bid
IG,Inspector General
IGA,Inter-Governmental Agreement
IGCE,IIndependent Government Cost Estimate
IIP,Instrument Incubator Program
ILS,Integrated Logistics Support
IM,Intuitive Machines
IMAP,Interstellar Mapping and Acceleration Probe
IMC,International Mission Contributions
IMF,Interplanetary Magnetic Field
IMPALA,Information Management Platform for Data Analytics and Aggregation
IMS,Integrated Master Schedule
INCLUDES,Inclusion across the Nation of Communities of Learners of Underrepresented
INCUS,Investigation of Convective Updrafts
INL,Idaho National Laboratory
INSTEP,In-Space Technology Experiments Program
INTEGRAL,International Gamma-Ray Astrophysics Laboratory
IOC,Initial Operational Capability
IOP,Input Output Package
IPA,Integrated Payload Assembly
IPAC,Infrared Processing and Analysis Center
IPAO,Independent Program Assessment Office
IPAT,Independent Program Assessment Team
IPE,ISRU Pilot Excavator
IPO,Institutional Program Office
IPP,Innovative Partnerships Program
IPS,Integrated Program Summary
IPSU,Image Processing & Storage Unit
IPT,Integrated Product Team
IR,Infared
IRAD,Internal Research and Development
