State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
MD	861	$1423695371	574	$545932049	126	$90928853	136	$334803296	78	$145199906	22	$70890955	8	$6727497	64	$209466289	64	$67809464
ME	15	$6023100	5	$419596	2	$50000	0	$ 0	3	$497754	1	$204054	0	$ 0	4	$3801673	7	$4228821
MI	102	$27112400	62	$4777365	10	$683688	7	$1076341	21	$17764688	12	$16654513	0	$ 0	20	$16764083	21	$15221457
MN	62	$13974054	35	$2167758	3	$161576	5	$231878	6	$2797774	3	$2715259	0	$ 0	6	$2390646	7	$2494186
MO	48	$37995192	19	$1828607	2	$46006	3	$910527	18	$13340072	9	$3047027	0	$ 0	13	$6441906	18	$11668393
MS	130	$236907567	56	$31707549	10	$8488605	16	$20011888	25	$18016946	8	$4293536	5	$437530	12	$4199610	19	$4656201
MT	34	$15222953	17	$4940687	1	$118652	1	$3278498	15	$10280410	11	$9657507	0	$ 0	4	$624759	16	$8410118
NC	89	$13310995	49	$2092843	5	$757843	5	$1083790	23	$6847555	15	$5042255	5	$455374	12	$4464212	20	$5457030
ND	7	$12691766	0	$ 0	0	$ 0	0	$ 0	6	$12571766	4	$12571766	0	$ 0	2	$120000	7	$5641470
NE	13	$3428536	5	$306278	1	$53683	1	$53683	5	$3029635	5	$3029635	0	$ 0	2	$1977529	5	$1401485
NH	65	$26388564	49	$5234949	3	$1828222	2	$200000	8	$13443373	3	$6700138	0	$ 0	3	$3232674	7	$11956185
NJ	202	$61240742	131	$12056352	8	$162282	6	$127816	24	$14785660	3	$2256253	0	$ 0	22	$12045698	29	$10500810
NM	76	$93752857	46	$20413217	8	$1711311	17	$16626440	15	$24727465	7	$24224466	0	$ 0	5	$1194988	16	$4052810
NV	28	$4777911	14	$1474117	0	$ 0	0	$ 0	11	$2889005	7	$2372285	0	$ 0	3	$422428	8	$1840181
NY	291	$95952903	177	$22490473	13	$251868	16	$4668945	47	$36151091	5	$191000	0	$ 0	45	$30517864	60	$37713261
OH	423	$231644748	300	$163623977	34	$9239826	55	$114279358	44	$17989136	16	$10988122	1	$443220	44	$30295539	34	$13069561
OK	23	$45157488	10	$35568927	4	$1290499	3	$2117717	7	$8672609	4	$8322609	0	$ 0	3	$1313536	7	$2104779
OR	70	$9776530	47	$3225735	4	$60000	1	$ 0	6	$5553742	6	$5553742	0	$ 0	5	$29839	13	$5187821
PA	237	$36294909	151	$9555777	13	$1330245	1	$6150	35	$21823223	15	$10224883	0	$ 0	25	$9407820	37	$17334429
RI	32	$7282878	18	$1460314	4	$450925	0	$ 0	6	$4880935	2	$1192859	0	$ 0	8	$4631883	10	$3973186
SC	37	$5090954	13	$420678	3	$177904	0	$ 0	13	$3295408	12	$3295408	1	$252000	8	$594675	14	$2318624
SD	9	$2410210	2	$-44115	0	$ 0	1	$-55000	5	$1854330	3	$667418	0	$ 0	5	$2133582	4	$646540
TN	67	$30912797	32	$7855659	4	$3433305	7	$700021	23	$7076919	16	$4757965	2	$621028	12	$17187884	21	$6131748
TX	616	$3489381027	394	$232410861	83	$45944699	64	$141280839	97	$72642442	55	$32485355	4	$1362973	56	$110261257	77	$32217256
UT	50	$475483073	28	$3272787	1	$269086	3	$79978	9	$8376014	7	$7951327	0	$ 0	9	$3996016	11	$7349522
VA	630	$562167075	389	$164547908	64	$14289749	68	$45237624	49	$46010698	13	$12200530	4	$13119259	59	$53856595	41	$16097974
VT	10	$3474328	6	$401978	0	$ 0	0	$ 0	4	$3071395	2	$3040308	0	$ 0	2	$3040308	4	$1879010
WA	101	$28555044	64	$8429674	5	$177880	4	$155832	17	$10029136	11	$9438066	0	$ 0	13	$8410758	18	$12493634
WI	62	$13472522	30	$3059911	2	$27558	3	$92126	13	$8150219	11	$7866219	0	$ 0	6	$1043263	16	$4931806
WV	43	$78884570	15	$4648603	5	$2064940	6	$4464219	15	$35601955	7	$12625814	2	$531600	13	$39106185	20	$27421728
WY	7	$1991486	3	$642961	0	$ 0	0	$ 0	4	$1348525	2	$1256452	0	$ 0	4	$1096713	2	$386311
