State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
OH	220	$241866763	134	$170731465	19	$78484275	23	$108701425	15	$9784610	12	$8823977	1	$-28678	9	$5217598	19	$9061405
OK	18	$31626993	7	$2587586	0	$ 0	1	$3500	5	$28681956	5	$28681956	1	$ 0	2	$7986	4	$4855469
OR	32	$13796023	22	$5302004	3	$397481	1	$643195	3	$7964167	3	$7964167	0	$ 0	0	$ 0	5	$6331709
PA	115	$169905459	66	$132805030	5	$700151	3	$18228	20	$27695719	8	$22717192	1	$160000	5	$243320	22	$18889408
RI	12	$6098119	4	$463304	0	$ 0	0	$ 0	4	$5316130	1	$226845	0	$ 0	1	$70000	5	$3889361
SC	15	$6626531	8	$309433	2	$19524	1	$2700	4	$6134860	4	$6134860	0	$ 0	0	$ 0	4	$2411112
SD	9	$5922642	6	$3789837	2	$652582	1	$ 0	3	$2132805	2	$2132805	0	$ 0	1	$ 0	2	$932709
TN	36	$27101598	21	$1251467	3	$364365	4	$103547	8	$5537101	5	$1017395	3	$222745	4	$19650583	7	$4840591
TX	276	$1289152925	148	$402266577	33	$109614173	49	$65247834	36	$58176346	29	$40667038	3	$1125806	13	$84088469	42	$46898382
UT	37	$159908885	19	$2955913	2	$1198458	5	$1203834	3	$6917772	2	$5764582	0	$ 0	2	$8708906	4	$6005283
VA	374	$1095649833	235	$227771978	58	$36919115	62	$105473766	13	$16372844	10	$12132530	2	$3910486	22	$27816432	32	$17471878
VT	7	$2340614	4	$749482	1	$ 0	0	$ 0	1	$1275783	1	$1275783	0	$ 0	2	$1525783	3	$315349
WA	63	$95105838	36	$25855088	1	$10381	4	$207431	5	$20040818	4	$19860817	0	$ 0	3	$1106592	10	$21343427
WI	26	$27912081	15	$1516901	4	$5724536	1	$189215	4	$20353646	1	$18125790	0	$ 0	1	$50000	5	$15577183
WV	15	$52705761	7	$6388408	2	$983821	2	$977594	3	$11029161	1	$418000	0	$ 0	2	$7561163	3	$5633961
WY	5	$2585062	3	$305480	0	$ 0	0	$ 0	1	$2200661	1	$2200661	0	$ 0	1	$78921	1	$941341
